Value,Year,N
1,1971,2
1,1976,1
1,1980,1
1,1986,1
1,1988,1
1,1990,1
1,1994,1
1,1996,1
1,1998,2
1,2000,2
1,2001,3
1,2002,1
1,2004,2
1,2006,1
1,2007,1
1,2008,2
1,2010,3
1,2012,2
1,2014,3
1,2015,2
1,2016,3
1,2017,1
2,1971,1
2,1980,2
2,1987,1
2,1988,1
2,1990,1
2,1992,2
2,1994,2
2,1996,1
2,1997,4
2,1999,3
2,2000,2
2,2001,2
2,2004,3
2,2005,3
2,2006,4
2,2008,1
2,2009,1
2,2011,2
2,2014,2
2,2015,1
2,2016,1
2,2021,7
5,1990,4
5,1991,4
5,1992,2
5,1995,2
5,1996,1
5,1997,2
5,2000,1
5,2001,2
5,2003,1
5,2004,3
5,2005,2
5,2006,1
5,2007,3
5,2008,1
5,2009,2
5,2012,8
5,2013,5
5,2014,9
5,2015,7
5,2016,5
5,2017,4
5,2019,4
5,2020,2
10,1992,5
10,1995,1
10,2002,1
10,2013,5
10,2014,4
10,2015,1
10,2016,4
10,2017,1
10,2020,1
10,2021,1
20,1982,6
20,1983,3
20,1984,2
20,1988,1
20,1989,3
20,1990,2
20,1992,1
20,1995,1
20,1998,3
20,1999,1
20,2000,3
20,2001,1
20,2002,1
20,2003,5
20,2004,1
20,2005,2
20,2006,1
20,2007,1
20,2008,3
20,2009,1
20,2010,3
20,2011,2
20,2012,3
20,2013,2
20,2015,4
20,2016,3
20,2019,4
50,1997,6
50,1998,2
50,1999,1
50,2005,1
50,2006,1
50,2011,1
50,2012,1
50,2019,2
100,2016,10
100,2017,21
100,2018,2
100,2019,4
100,2020,1
200,1998,1
200,1999,1
200,2005,1
200,2007,1
200,2013,1
200,2015,1
