Value,Year
1,1971
1,1971
1,1976
1,1980
1,1986
1,1988
1,1990
1,1994
1,1996
1,1998
1,1998
1,2000
1,2000
1,2001
1,2001
1,2001
1,2002
1,2004
1,2004
1,2006
1,2007
1,2008
1,2008
1,2010
1,2010
1,2010
1,2012
1,2012
1,2014
1,2014
1,2014
1,2015
1,2015
1,2016
1,2016
1,2016
1,2017
2,1971
2,1980
2,1980
2,1987
2,1988
2,1990
2,1992
2,1992
2,1994
2,1994
2,1996
2,1997
2,1997
2,1997
2,1997
2,1999
2,1999
2,1999
2,2000
2,2000
2,2001
2,2001
2,2004
2,2004
2,2004
2,2005
2,2005
2,2005
2,2006
2,2006
2,2006
2,2006
2,2008
2,2009
2,2011
2,2011
2,2014
2,2014
2,2015
2,2016
2,2021
2,2021
2,2021
2,2021
2,2021
2,2021
2,2021
5,1990
5,1990
5,1990
5,1990
5,1991
5,1991
5,1991
5,1991
5,1992
5,1992
5,1995
5,1995
5,1996
5,1997
5,1997
5,2000
5,2001
5,2001
5,2003
5,2004
5,2004
5,2004
5,2005
5,2005
5,2006
5,2007
5,2007
5,2007
5,2008
5,2009
5,2009
5,2012
5,2012
5,2012
5,2012
5,2012
5,2012
5,2012
5,2012
5,2013
5,2013
5,2013
5,2013
5,2013
5,2014
5,2014
5,2014
5,2014
5,2014
5,2014
5,2014
5,2014
5,2014
5,2015
5,2015
5,2015
5,2015
5,2015
5,2015
5,2015
5,2016
5,2016
5,2016
5,2016
5,2016
5,2017
5,2017
5,2017
5,2017
5,2019
5,2019
5,2019
5,2019
5,2020
5,2020
10,1992
10,1992
10,1992
10,1992
10,1992
10,1995
10,2002
10,2013
10,2013
10,2013
10,2013
10,2013
10,2014
10,2014
10,2014
10,2014
10,2015
10,2016
10,2016
10,2016
10,2016
10,2017
10,2020
10,2021
20,1982
20,1982
20,1982
20,1982
20,1982
20,1982
20,1983
20,1983
20,1983
20,1984
20,1984
20,1988
20,1989
20,1989
20,1989
20,1990
20,1990
20,1992
20,1995
20,1998
20,1998
20,1998
20,1999
20,2000
20,2000
20,2000
20,2001
20,2002
20,2003
20,2003
20,2003
20,2003
20,2003
20,2004
20,2005
20,2005
20,2006
20,2007
20,2008
20,2008
20,2008
20,2009
20,2010
20,2010
20,2010
20,2011
20,2011
20,2012
20,2012
20,2012
20,2013
20,2013
20,2015
20,2015
20,2015
20,2015
20,2016
20,2016
20,2016
20,2019
20,2019
20,2019
20,2019
50,1997
50,1997
50,1997
50,1997
50,1997
50,1997
50,1998
50,1998
50,1999
50,2005
50,2006
50,2011
50,2012
50,2019
50,2019
100,2016
100,2016
100,2016
100,2016
100,2016
100,2016
100,2016
100,2016
100,2016
100,2016
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2017
100,2018
100,2018
100,2019
100,2019
100,2019
100,2019
100,2020
200,1998
200,1999
200,2005
200,2007
200,2013
200,2015
